,astronaut_id,selection_id,year_of_selection
272,139,1978 NASA group 8,1978
273,140,NASA Astronaut Group 8,1978
274,141,1978 NASA group,1978
275,141,1978 NASA group,1978
276,142,NASA-8,1978
277,142,NASA-8,1978
278,142,NASA-8,1978
279,143,LII-1,1977
280,144,NASA- 8,1978
281,144,NASA- 8,1978
282,144,NASA- 8,1978
283,145,NASA-8,1978
284,145,NASA-8,1978
285,145,NASA-8,1978
286,146,NASA Astronaut Group 8,1978
287,146,NASA Astronaut Group 8,1978
288,146,NASA Astronaut Group 8,1978
289,146,NASA Astronaut Group 8,1978
290,146,NASA Astronaut Group 8,1978
291,147,NASA-8,1978
292,147,NASA-9,1978
293,148,PS,1983
294,148,PS,1983
295,148,PS,1983
296,149,NASA- 8,1978
297,150,1978 NASA group,1978
298,150,1978 NASA group,1978
299,150,1978 NASA group,1978
300,151,NASA- 9,1980
301,151,NASA- 9,1980
302,151,NASA- 9,1980
303,152,PS,1984
304,153,1983 NRC Group,1983
305,154,1978 NASA group 8,1978
306,154,1978 NASA group 8,1978
307,154,1978 NASA group 8,1978
308,155,NASA- 8,1978
309,156,1978 NASA group,1978
310,156,1978 NASA group,1978
311,156,1978 NASA group,1978
312,157,NASA-8,1978
313,157,NASA-8,1978
314,158,NASA- 8,1978
315,158,NASA- 8,1978
316,158,NASA- 8,1978
317,158,NASA- 8,1978
318,159,1979 USAF group,1979
319,160,1981 NASA group 8,1978
320,160,1981 NASA group 8,1978
321,161,NASA-8,1978
322,161,NASA-8,1978
323,161,NASA-8,1978
324,162,NASA Astronaut Group 8,1978
325,163,NASA- 8,1978
326,163,NASA- 8,1978
327,163,NASA- 8,1978
328,163,NASA- 8,1978
329,163,NASA- 8,1978
330,164,PS,1985
331,165,NASA Astronaut Group 8,1978
332,165,NASA Astronaut Group 8,1978
333,166,NASA- 5,1966
334,167,PS,1983
335,168,Spacelab-3 mission payload specialist,1984
336,169,NASA- 8,1978
337,169,NASA- 8,1978
338,169,NASA- 8,1978
339,170,NASA-8,1978
340,170,NASA-8,1978
341,170,NASA-8,1978
342,171,NASA- 8,1978
343,171,NASA- 8,1978
344,171,NASA- 8,1978
345,171,NASA- 8,1978
346,172,CNES-1,1980
347,173,Saudi-Arabia,1985
348,174,NASA- 9,1980
349,175,NASA- 6,1967
350,176,NASA- 6,1967
351,177,PS for Spacelab-2,1978
352,178,PS for Spacelab-2,1978
353,179,NASA- 8,1978
354,179,NASA- 8,1978
355,179,NASA- 8,1978
356,180,NASA- 9,1980
357,180,NASA- 9,1980
358,180,NASA- 9,1980
359,181,NASA- 9,1980
360,182,TsPK-6,1976
361,183,TsPK-6,1976
362,183,TsPK-6,1976
363,184,NASA Astronaut Group 9,1980
364,184,NASA Astronaut Group 11,1980
365,184,NASA Astronaut Group 12,1980
366,185,NASA- 9,1980
367,185,NASA- 10,1980
368,185,NASA- 11,1980
369,185,NASA- 12,1980
370,186,USAF group,1982
371,187,NASA- 9,1980
372,187,NASA- 9,1980
373,187,NASA- 9,1980
374,187,NASA- 9,1980
375,188,DLR-1,1982
376,189,DLR-1,1982
377,190,1978 ESA Group,1978
378,192,NASA-9,1980
379,192,NASA-9,1980
380,192,NASA-9,1980
381,192,NASA-9,1980
382,192,NASA-9,1980
383,193,NASA- 9,1980
384,194,1980 NASA group,1980
385,195,1985 NASA Group,1985
386,196,NASA- 9,1980
387,196,NASA- 9,1980
388,196,NASA- 9,1980
389,196,NASA- 9,1980
390,197,NASA- 9,1980
391,197,NASA- 9,1980
392,197,NASA- 9,1980
393,197,NASA- 9,1980
394,197,NASA- 9,1980
395,197,NASA- 9,1980
396,197,NASA- 9,1980
397,198,PS by RCA,1985
398,199,Congress Observer,1984
399,200,1980 NASA group 9,1980
400,201,PS by SAL,1984
401,202,1985 Teacher in Space,1985
402,204,TsPK-7,1978
403,204,TsPK-7,1978
404,204,TsPK-7,1978
405,205,Syria,1985
406,206,NPOE-4,1978
407,207,LII-1,1977
408,208,TsPK-6,1976
409,210,IMBP-1,1972
410,211,Afghanistan,1988
411,212,NPOE-7,1985
