astronaut_id,selection_id,year_of_selection
333,ESA-2/EAC,1992
334,NASA Astronaut Group 14,1992
334,NASA Astronaut Group 16,1992
334,NASA Astronaut Group 17,1992
335,NASA-14,1992
336,NASA- 14,1992
337,NASA- 15,1992
337,NASA- 16,1992
337,NASA- 17,1992
340,1992 CSA Group,1992
341,NASA- 14,1992
341,NASA- 15,1992
341,NASA- 17,1992
342,1992 NASA group 14,1992
343,NASDA-2,1992
344,NASA- 14,1992
345,TsPK-10,1989
346,NASA- 14,1992
346,NASA- 15,1992
346,NASA- 16,1992
346,NASA- 17,1992
347,1992 ESA Group,1992
348,1996 NASA Group,1996
349,1992 NASA group,1992
350,NASA- 14,1992
355,CNES-2/EAC,1985
356,NPOE-10,1992
357,DLR-3/EAC,1990
358,NASA- 15,1995
359,PS for STS-43,1995
360,PS for STS-43,1995
361,NASA-15,1995
362,NASA- 15,1995
362,NASA- 16,1995
363,NPOE-10,1992
364,NASA- 15,1994
365,NASA-15,1994
366,1983 NRC Group,1983
367,NASA- 15,1994
368,NASA- 16,1995
368,NASA- 17,1995
368,NASA- 18,1995
368,NASA- 19,1995
369,NASA- 16,1994
370,NASDA-1,1985
373,NASA-15,1994
374,NASA- 15,1994
375,TsPK-11,1990
376,CNES-3/EAC,1990
377,NASA- 15,1994
378,NASA- 16,1995
379,1992 CSA Group,1992
382,NASA Astronaut Group 15,1995
382,NASA Astronaut Group 17,1995
382,NASA Astronaut Group 18,1995
383,NASA- 15,1995
384,TsPK-10,1989
385,1992 ESA Group,1992
385,Politician-2,1997
387,1994 NASA group 15,1995
388,Slovakia,1998
389,NASA- 15,1995
389,NASA- 16,1995
390,1992 CSA Group,1992
391,GKNII-3 / TsPK-12,1989
392,NASA-15,1995
393,NASA- 16,1996
395,TsPK-11,1990
396,1996 NASA group 8,1996
397,NASA- 16,1996
398,NASA- 16,1996
399,IMBP-5,1989
400,NASA- 15,1995
401,NASA-16,1996
402,NASA- 16,1996
403,NASA-16,1996
404,NASA-16,1996
405,TsPK-12,1997
407,NASA- 16,1996
408,NASA- 16,1996
409,NPOE-11,1994
410,RKKE-12,1996
411,NASA- 16,1996
412,1996 NASA group,1996
413,NASA- 16,1996
414,NASA- 16,1996
415,NASA- 16,1996
416,1996 NASA group,1996
417,NASA- 16,1996
418,1998 ESA Group,1998
419,Space Tourist 2,2001
420,NASA- 16,1996
420,NASA- 17,1996
421,CNES-3/EAC,1990
422,1996 NASA group,1996
424,NASA- 16,1996
425,NASA-16,1996
426,RKKE-14,1997
427,EAC,1998
428,NASA- 16,1996
429,NASA-16,1996
430,NASA- 16,1996
431,NASA- 16,1996
432,NASA- 16,1996
433,1996 NASA Group,1996
434,China-1,2003
435,NASA- 16,1996
436,1998 ESA Group,1998
437,MKS,1996
438,NASDA-3,1996
439,NASA- 16,1996
440,,2004
441,China-1,2005
442,China-1,2005
443,1998 NASA Group,1998
444,NASA- 17,1998
445,NASA-16,1996
446,1996 NASA group,1996
447,NASA- 17,1998
448,1963 NASA group 2,1996
449,,2006
450,NASA-17,1998
451,NASA-17,1998
452,1992 ESA Group,1992
453,NASA- 16,1996
454,1998 NASA group,1998
456,,2006
457,NASA- 17,1998
458,1998 NASA group,1998
459,NASA-17,1998
460,NASA- 17,1998
461,NASA- 17,1998
462,NASA- 18,2000
463,NASA- 17,1998
464,2006 Angkasawan Program,2006
465,1998 NASA group,1998
466,1998 NASA group,1998
467,1998 ESA Group,1998
468,NASA-17,1998
469,NASA- 17,1998
470,NASA- 17,1998
471,NASA- 17,1998
471,NASA- 18,1998
472,NASA- 18,2000
473,NASA- 17,1998
474,NASA-17,1998
475,TsPK-12,1997
476,MKS,1996
477,South Korea,2006
478,NASA Astronaut Group 17,1998
478,NASA Astronaut Group 18,1998
479,NASA- 18,2000
480,NASA Astronaut Group 18,2000
481,NASDA-4,1999
482,NASA-17,1998
483,China-1,2008
484,China-1,2008
485,China-1,2008
486,,2007
487,NASA- 18,2000
488,NASA- 18,2000
489,NASA- 19,2004
490,NASA- 18,2000
491,NASA- 19,2004
492,NASA- 19,2004
493,NASA- 18,2000
494,NASA- 17,1998
495,NASA Astronaut Group 18,2000
495,NASA Astronaut Group 19,2000
496,NASA- 18,2000
497,NASA- 18,2000
498,TsPK-12,1997
499,NASA- 18,2000
499,NASA- 19,2000
500,NASA- 19,2004
501,NASA- 19,2004
502,NASA- 18,2000
503,NASA- 18,2000
504,NASA- 19,2004
505,2000 NASA group,2000
506,TsPK-12,1997
507,Space Tourist,2009
508,2000 NASA group,2000
509,NASA- 19,2004
510,2004 NASA Group 19,2004
512,2000 NASA group,2000
513,TsPK-12,1997
514,RKKE-14,1998
515,NASA- 19,2004
516,NASA- 19,2004
517,NASDA-4,1999
519,RKKE-14,1997
521,TsPK-13,2003
522,RKKE-15,2003
526,RKKE-12,1996
527,China-1,2012
528,China-2,2012
529,TsPK-14,2006
530,TsPK-13,2003
532,2009 ESA Group,2009
533,China-1,2013
534,China-2,2013
539,ESA-3/EAC,2009
540,RKKE-15,2006
544,ESA-3/EAC,2009
545,Kzazkh Cosmonaut Group 1,2012
546,2009 ESA Group,2009
547,TsPK-14,2006
550,China-2,2010
557,TsPK-15,2010
558,NASA-20,2009
559,NASA-21,2013
560,CSA-3,2009
561,NASA-21,2013
