lv_name,stage_number,stage_name,dummy
Aerobee 100,1,Aerobee Booster,no
Aerobee 100,2,Aerobee 100,no
Aerobee 150,1,Aerobee Booster,no
Aerobee 150,2,Aerobee 150,no
Aerobee 150A,1,Aerobee Booster,no
Aerobee 150A,2,Aerobee 150A,no
Nucleus,1,Nucleus,no
LS-A,1,LS-A Booster,no
LS-A,2,LS-A,no
Aerobee 75,1,Aerobee 75,no
Improved Orion,1,Improved Orion,no
Orion,1,Orion,no
Iraqi Gun Projectile,1,Iraqi Gun Projectile,no
THAAD,1,THAAD Proto,no
THAAD,1,THAAD,no
Lynx,1,Lynx,no
Kappa 4,1,Kappa 4 Booster,no
Kappa 4,2,Kappa 4,no
Sandhawk,1,Sandhawk,no
Gradicom 1,1,Gradicom 1,no
Gradicom 2,1,Gradicom 2,no
Gradicom 2,2,Gradicom 1,no
RX-320,1,RX-320,no
BT-310,1,BT-310,no
S-310,1,S-310,no
Belier,1,Belier,no
Belier III,1,Belier III,no
RH-300,1,RH-300,no
RH-300 Mk II,1,RH-300 Mk II,no
Iris,0,MARC 14B1,no
Iris,1,Iris,no
S-300,1,S-300,no
FTI,1,FTI,no
Tiny Tim,1,Tiny Tim,no
VLS-R2,0,VLS-R2 Strapon,no
VLS-R2,1,VLS-R2,no
Centenario,1,Centenario,no
SpaceLoft XL,1,SpaceLoft XL,no
Black Brant IIIB,1,Black Brant IIIB,no
Private A,0,Private A Booster,no
Private A,1,Private A,no
Private F,0,Private A Booster,no
Private F,1,Private F,no
CSXT,1,CSXT,no
K245,1,K245,no
Kappa 6,1,Kappa 6,no
Kappa 6,2,K150,no
Kappa 6H,1,Kappa 6H,no
Kappa 6H,2,K150,no
Kappa 8L,1,Kappa 6H,no
Kappa 8L,2,Kappa 8L,no
S-250,1,S-250,no
NAL-25,1,NAL-25,no
M-100,1,M-100,no
M-100,2,M-100 St2,no
RX-250-LPN,1,RX-250-LPN,no
Tomahawk,1,Tomahawk,no
Mesquito,1,Mesquito,no
Javelin 3,1,Javelin 3,no
Recruit,1,Recruit,no
S-210,1,S-210,no
Orion-2,1,Orion-2,no
Orion-1,1,Orion-1,no
Belisama,1,Elan,no
Belisama,2,Belisama,no
TT-210,1,TT-210,no
TT-200,1,TT-200,no
RH-200,1,RH-200,no
RH-200,2,RH-125,no
RH-200SV,1,RH-200SV,no
MMR-06,1,MMR-06,no
Traveler,1,Traveler,no
Cirrus I,1,Cirrus I,no
Cirrus I,2,Cirrus I,no
Cirrus II,1,Cirrus II,no
Cirrus II,2,Cirrus I,no
Stratos II+,1,Stratos II+,no
Petrel,0,Chick x3,no
Petrel,1,Petrel,no
Petrel 2,0,Chick x4,no
Petrel 2,1,Petrel 2,no
Astrid,1,Astrid,no
Asp,1,Asp,no
Asp II,1,Asp II,no
Asp III,0,Loki,no
Asp III,1,Asp II,no
Asp IV,1,Asp IV,no
Apache,1,Apache,no
Cajun,1,Cajun,no
S-C,1,S-C,no
S-B,1,S-B,no
S-A,1,S-A,no
S-160,1,S-160,no
NAL-16,1,NAL-16,no
Lex,1,Lex,no
Deacon,1,Deacon,no
Atea-1,1,Atea-1,no
Icarus,1,Icarus,no
Icarus,2,Icarus Stage 2,no
Hyperion,1,Hyperion,no
K150,1,K150,no
Arcon,0,Arcon booster,no
Arcon,1,Arcon,no
Astrobee D,1,Astrobee D,no
MERA,1,MERA,no
MERA,2,MERA,no
Meteo,1,Meteo,no
Sirocco,1,Sirocco,no
MT-135P,1,MT-135P,no
Ivanov,0,Ivanov Booster,no
Ivanov,1,Ivanov,no
Ivanov,2,Ivanov,no
Ivanov,3,Ivanov,no
Emma,0,Emma Booster,no
Emma,1,Emma,no
Aurore,1,Aurore,no
Kappa 1,1,Kappa 1,no
Skua,0,Chick x3,no
Skua,1,Skua,no
Skua 2,0,Chick x4,no
Skua 2,1,Skua 2,no
Skua 3,0,Chick x4,no
Skua 3,1,Skua 3,no
FTB,1,FTB,no
HPAG,1,HPAG,no
DAC Roc,1,DAC Roc,no
Seagull,1,Seagull,no
HALO,1,HALO,no
HVAR,1,HVAR,no
DIM,1,DIM,no
RH-125,1,RH-125,no
INTA-100,1,INTA S-12,no
INTA-100,2,INTA-100,no
