number,name,original_name,sex,year_of_birth,nationality,background
239,"Durrance, Samuel Thornton","Durrance, Samuel Thornton",M,1943,US,C
240,"Parise, Ronald Anthony","Parise, Ronald Anthony",M,1951,US,C
241,"Afanasyev, Viktor Mikhaylovich",Виктор Михайлович Афанасьев,M,1948,RU,M
242,"Akiyama, Toyohiro",秋山豊寛,M,1942,JP,C
243,"Cameron, Kenneth D.","Cameron, Kenneth D.",M,1949,US,M
244,"Godwin, Linda M.","Godwin, Linda M.",F,1952,US,C
245,"Apt, Jerome","Apt, Jerome",M,1949,US,C
246,"Hammond, L. Blaine, Jr.","Hammond, L. Blaine, Jr.",M,1952,US,M
247,"Harbaugh, Gregory J.","Harbaugh, Gregory J.",M,1956,US,C
248,"McMonagle, Donald R.","McMonagle, Donald R.",M,1952,US,M
249,"Veach, Charles Lacy","Veach, Charles Lacy",M,1944,US,C
250,"Hieb, Richard J.","Hieb, Richard J.",M,1955,US,C
252,Helen Sharman,Helen Sharman,F,1963,GB,C
253,"Gutierrez, Sidney M.","Gutierrez, Sidney M.",M,1951,US,M
254,"Jernigan, Tamara E.","Jernigan, Tamara E.",F,1959,US,C
255,"Gaffney, Andrew","Gaffney, Andrew",M,1946,US,C
256,"Hughes-Fulford, Millie Elizabeth","Hughes-Fulford, Millie Elizabeth",F,1945,US,C
257,"Baker, Michael A.","Baker, Michael A.",M,1953,US,M
258,"Reightler, Kenneth S., Jr.","Reightler, Kenneth S., Jr.",M,1951,US,M
259,"Aubakirov, Toktar",Тоқтар Оңғарбайұлы Әубәкіров,M,1946,RU,M
260,"Viehbock, Franz","Viehbock, Franz",M,1960,AT,C
261,"Henricks, Terence T.","Henricks, Terence T.",M,1952,US,M
262,"Voss, James S.","Voss, James S.",M,1949,US,M
263,"Runco, Mario, Jr.","Runco, Mario, Jr.",M,1952,US,M
264,"Hennen, Thomas John","Hennen, Thomas John",M,1952,US,M
265,"Oswald, Stephen S.","Oswald, Stephen S.",M,1951,US,M
266,"Readdy, William F.","Readdy, William F.",M,1952,US,C
267,"Bondar, Roberta Lynn","Bondar, Roberta Lynn",F,1945,CA,C
268,"Kaleri, Aleksandr",Александр Юрьевич Калери,M,1956,RU,C
269,"Flade, Klaus-Dietrich","Flade, Klaus-Dietrich",M,1952,DE,M
270,"Duffy, Brian","Duffy, Brian",M,1953,US,M
271,"Foale, C. Michael","Foale, C. Michael",M,1957,US,C
272,"Frimout, David","Frimout, Dirk Dries david",M,1941,BE,C
273,"Chilton, Kevin P.","Chilton, Kevin P.",M,1954,US,M
274,"Bowersox, Kenneth D.","Bowersox, Kenneth D.",M,1956,US,M
275,"DeLucas, Lawrence James","DeLucas, Lawrence James",M,1950,US,C
276,"Trinh, Eugene Huu-Chau","Trinh, Eugene Huu-Chau",M,1950,US,C
277,"Avdeyev, Sergei",Сергей Васильевич Авдеев,M,1956,RU,C
278,"Tognini, Michel","Tognini, Michel",M,1949,FR,M
279,"Allen, Andrew M.","Allen, Andrew M.",M,1955,US,M
280,"Nicollier, Claude","Nicollier, Claude",M,1944,CH,C
282,"Brown, Curtis L., Jr.","Brown, Curtis L., Jr.",M,1956,US,M
283,"Davis, Nancy Jan","Davis, Nancy Jan",F,1953,US,C
284,"Jemison, Mae C.","Jemison, Mae C.",F,1956,US,C
285,"Mohri, Mamoru",毛利衛,M,1948,JP,C
286,Steven MacLean,Steven MacLean,M,1954,CA,M
287,"Clifford, Michael R.","Clifford, Michael R.",M,1952,US,M
288,"Helms, Susan J.","Helms, Susan J.",F,1958,US,M
289,"Poleshchuk, Aleksandr",Александр Федорович Полещук,M,1953,RU,M
290,"Cockrell, Kenneth D.","Cockrell, Kenneth D.",M,1950,US,C
291,"Ochoa, Ellen","Ochoa, Ellen",F,1958,US,C
292,"Precourt, Charles J., Jr.","Precourt, Charles J., Jr.",M,1955,US,M
293,"Harris, Bernard A., Jr.","Harris, Bernard A., Jr.",M,1956,US,C
294,"Walter, Ulrich","Walter, Ulrich",M,1954,DE,C
